SENDER_WALLET,APTOS_WALLET,TX_HASH,NETWORK,SOURCE_TIMESTAMP_UTC,CLUSTER_NUMBER,CLUSTER_SIZE
0xe6adc254f1d3f3d182c98edb787e6dad96224f7c,0x4b4ab316fee79679cf1b49763069c40f09538716d7a88a62c3f280ebeca9fce5,0x27a2adb9b689fbfce9d9d26d79a4e87c3499ad07c75e8c5cc0fa9a4c8a9ed505,Ethereum,2023-03-04 04:10:47.000,20,38
0x31c8489d36a4560a1b062a2caa96d86169d7cda6,0x4b4ab316fee79679cf1b49763069c40f09538716d7a88a62c3f280ebeca9fce5,0x6da5984ebcf77ded236292f510370b76c83c0e3fea5a22906a6333968055624a,Arbitrum,2023-03-29 13:15:20.000,20,38
0xc4cacdddb842b42ebbe97cdfc825be8b0a049d9f,0x4b4ab316fee79679cf1b49763069c40f09538716d7a88a62c3f280ebeca9fce5,0xb836ea7e90932d797676609ec206adc03a9c002d5e8287fa021fde166af96072,Arbitrum,2023-03-29 13:35:52.000,20,38
0x7287f9705a0c0e2a213c857244877a9bad1ef4d6,0x4b4ab316fee79679cf1b49763069c40f09538716d7a88a62c3f280ebeca9fce5,0x5e8c618c1a3ab9ff4d4c87f2a83dc16515d60adbead1d3cf4efd5bbb517c893c,Arbitrum,2023-04-01 04:36:25.000,20,38
0x6df693695ccfa1a754ad628fa335db91ad92f396,0x4b4ab316fee79679cf1b49763069c40f09538716d7a88a62c3f280ebeca9fce5,0xf1fd51570967f985bf3a0d68da9cdeed2e98f7172d740a26a3c1c19f07fce09b,Arbitrum,2023-04-28 11:31:19.000,20,38
0xe7ba2e0006d3b8175e744b1bfcb2b284b6cb62d8,0x4b4ab316fee79679cf1b49763069c40f09538716d7a88a62c3f280ebeca9fce5,0xe72ad32ad4cb561e517a3b21d712affcf70b23494f37ea9b130a5be3202f0602,Arbitrum,2023-04-28 11:45:48.000,20,38
0xb7ee7ec5c416cf46598ac9d6a5b3b5beea5b30b5,0x4b4ab316fee79679cf1b49763069c40f09538716d7a88a62c3f280ebeca9fce5,0x742682f81e96f0bf4bc160a1d067b5ea2a88e3aab919f3cd79e25d2cb4ebf737,Arbitrum,2023-04-28 11:49:43.000,20,38
0x7c1dc4128391b69e7cbcc5f49164db9d94ba798c,0x4b4ab316fee79679cf1b49763069c40f09538716d7a88a62c3f280ebeca9fce5,0x4948244ae683c7ee228dffa61593f6a6e49d6d05437822cb4243d92d006c7b72,Arbitrum,2023-04-28 11:58:51.000,20,38
0xfb43c40434876fa2f51cf4e952c277a8518b721c,0x4b4ab316fee79679cf1b49763069c40f09538716d7a88a62c3f280ebeca9fce5,0x8236133639f1d5cbad4d7d5d5235e4b9db58fa27ee38819ede8312cb279b764a,Arbitrum,2023-05-13 04:37:09.000,20,38
0xd3efd95f427897fea8e5872ae5a687a200c00db0,0x4b4ab316fee79679cf1b49763069c40f09538716d7a88a62c3f280ebeca9fce5,0xcbd16bf82f77ed9c7a5e9fec35a4ef2724bd3e290715f8103c5f0adf0bcba48e,Arbitrum,2023-05-13 04:40:04.000,20,38
0x7fe8b570e3392c236041efbd9b9a87b3853f9572,0x4b4ab316fee79679cf1b49763069c40f09538716d7a88a62c3f280ebeca9fce5,0xc666027584bb5eb4388b5c812c03ef0df28da93b845625df75316d397efecb2c,Arbitrum,2023-06-05 03:49:17.000,20,38
0xec642b777582dd02a3503256029e7a41de1108e1,0x4b4ab316fee79679cf1b49763069c40f09538716d7a88a62c3f280ebeca9fce5,0xe6b0023c9ae176db8d9437b4f82fd62801808bce119d8ce8cfd7c99b55885afc,Arbitrum,2023-06-05 03:54:49.000,20,38
0x9809b8b6a064fa2b2c69e3af3bf403fb7740d95c,0x4b4ab316fee79679cf1b49763069c40f09538716d7a88a62c3f280ebeca9fce5,0xae57d44a718b37cf0cd628ff5b971f30dbe9e693557a644724ce022ec0a832f8,Arbitrum,2023-06-05 04:00:23.000,20,38
0x54891c97d6e853e469ffb6fdd72a6dc40e861707,0x4b4ab316fee79679cf1b49763069c40f09538716d7a88a62c3f280ebeca9fce5,0xdf65ec2d3b70d0ef4fabb50b7d887d87c9f6e1ae83375258a00004ae202240be,Arbitrum,2023-06-05 04:10:13.000,20,38
0xb318ebe9717c2900329dc77847796329b9a66899,0x4b4ab316fee79679cf1b49763069c40f09538716d7a88a62c3f280ebeca9fce5,0x13b6695a161ac4afa875f1dd1b7b968b87b60cdcbab8f7f424453d7e57ad7442,Arbitrum,2023-06-09 02:50:20.000,20,38
0x6a69bccac42cffe615f8169e9a4a8442512b0f5c,0x4b4ab316fee79679cf1b49763069c40f09538716d7a88a62c3f280ebeca9fce5,0x38803b0af086e3cc5e09b1e0f75f573c38b8dddc6cb3332f9bf0270de624a61d,Arbitrum,2023-06-09 03:24:12.000,20,38
